threshold,nb_model,nb_treat_all,nb_treat_none,horizon
0.05,0.31847475832438243,0.28571428571428575,0.0,24h
0.060000000000000005,0.3181719496309162,0.27811550151975684,0.0,24h
0.06999999999999999,0.31797235023041476,0.27035330261136714,0.0,24h
0.08,0.31233362910381546,0.26242236024844723,0.0,24h
0.09,0.31178515362188836,0.2543171114599686,0.0,24h
0.09999999999999999,0.3112244897959184,0.24603174603174605,0.0,24h
0.11,0.310651226782848,0.2375601926163724,0.0,24h
0.12,0.3107606679035251,0.22889610389610393,0.0,24h
0.13,0.3102275392915787,0.2200328407224959,0.0,24h
0.14,0.3096820123398197,0.21096345514950166,0.0,24h
0.15000000000000002,0.30912364945978393,0.20168067226890757,0.0,24h
0.16,0.30855199222546165,0.19217687074829934,0.0,24h
0.17,0.30796656011802315,0.18244406196213425,0.0,24h
0.18000000000000002,0.3073668491786959,0.17247386759581881,0.0,24h
0.19,0.3067523305618544,0.16225749559082894,0.0,24h
0.2,0.30612244897959184,0.1517857142857143,0.0,24h
0.21000000000000002,0.3054766210281581,0.1410488245931284,0.0,24h
0.22,0.304814233385662,0.13003663003663005,0.0,24h
0.23,0.3041346408693348,0.11873840445269018,0.0,24h
0.24000000000000002,0.30343716433942,0.10714285714285715,0.0,24h
0.25,0.30272108843537415,0.09523809523809526,0.0,24h
0.26,0.30198565912851627,0.08301158301158301,0.0,24h
0.27,0.30123008107352534,0.07045009784735812,0.0,24h
0.28,0.30045351473922904,0.0575396825396825,0.0,24h
0.29000000000000004,0.2996550732969244,0.044265593561368166,0.0,24h
0.3,0.29883381924198255,0.030612244897959218,0.0,24h
0.31,0.29798876072168,0.0165631469979296,0.0,24h
0.32,0.2995198079231693,0.002100840336134391,0.0,24h
0.33,0.2987359122753579,-0.012793176972281495,0.0,24h
0.34,0.2979282622139765,-0.028138528138528185,0.0,24h
0.35000000000000003,0.2970957613814757,-0.04395604395604408,0.0,24h
0.36000000000000004,0.2962372448979592,-0.06026785714285726,0.0,24h
0.37,0.2953514739229025,-0.0770975056689342,0.0,24h
0.38,0.29443712969058594,-0.09447004608294934,0.0,24h
0.39,0.2934928069588491,-0.11241217798594855,0.0,24h
0.4,0.2925170068027211,-0.130952380952381,0.0,24h
0.41000000000000003,0.2864060878588724,-0.15012106537530273,0.0,24h
0.42000000000000004,0.28536242083040114,-0.16995073891625623,0.0,24h
0.43,0.28428213390619406,-0.1904761904761904,0.0,24h
0.44,0.28316326530612246,-0.211734693877551,0.0,24h
0.45,0.2820037105751392,-0.2337662337662338,0.0,24h
0.46,0.28080120937263797,-0.25661375661375657,0.0,24h
0.47000000000000003,0.27955333076626876,-0.28032345013477084,0.0,24h
0.48000000000000004,0.2782574568288854,-0.3049450549450549,0.0,24h
0.49,0.2769107643057223,-0.33053221288515405,0.0,24h
0.5,0.2806122448979592,-0.35714285714285715,0.0,24h
0.51,0.27426072469804247,-0.38483965014577265,0.0,24h
0.52,0.2729591836734694,-0.4136904761904762,0.0,24h
0.53,0.27160225792444637,-0.4437689969604864,0.0,24h
0.54,0.2701863354037267,-0.4751552795031058,0.0,24h
0.55,0.2687074829931973,-0.5079365079365081,0.0,24h
0.56,0.26716141001855287,-0.5422077922077924,0.0,24h
0.5700000000000001,0.2655434266729948,-0.5780730897009969,0.0,24h
0.5800000000000001,0.26384839650145775,-0.6156462585034017,0.0,24h
0.59,0.2620706819313091,-0.6550522648083623,0.0,24h
